Month,Price,Change
Oct-17,"1,38,730.20",2.66%
Nov-17,"1,36,066.20",-1.92%
Dec-17,"1,33,654.20",-1.77%
Jan-18,"1,40,636.70",5.22%
Feb-18,"1,40,450.20",-0.13%
Mar-18,"1,34,522.30",-4.22%
Apr-18,"1,48,048.80",10.06%
May-18,"1,55,328.80",4.92%
Jun-18,"1,51,695.10",-2.34%
Jul-18,"1,43,052.10",-5.70%
Aug-18,"1,42,651.30",-0.28%
Sep-18,"1,46,513.70",2.71%
Oct-18,"1,49,433.70",1.99%
Nov-18,"1,39,232.00",-6.83%
Dec-18,"1,36,023.50",-2.30%
Jan-19,"1,31,152.00",-3.58%
Feb-19,"1,32,659.70",1.15%
Mar-19,"1,30,009.10",-2.00%
Apr-19,"1,28,122.70",-1.45%
May-19,"1,24,312.90",-2.97%
Jun-19,"1,21,931.20",-1.92%
Jul-19,"1,23,644.60",1.41%
Aug-19,"1,23,841.90",0.16%
Sep-19,"1,25,084.30",1.00%
Oct-19,"1,22,632.70",-1.96%
Nov-19,"1,26,771.60",3.38%
Dec-19,"1,26,101.30",-0.53%
Jan-20,"1,26,469.90",0.29%
Feb-20,"1,20,612.40",-4.63%
Mar-20,"1,19,715.20",-0.74%
Apr-20,"1,11,230.90",-7.09%
May-20,"1,10,945.40",-0.26%
Jun-20,"1,18,754.40",7.04%
Jul-20,"1,23,315.60",3.84%
Aug-20,"1,29,724.50",5.20%
Sep-20,"1,28,165.10",-1.20%
Oct-20,"1,32,703.40",3.54%
Nov-20,"1,43,728.90",8.31%
Dec-20,"1,48,396.30",3.25%
Jan-21,"1,46,506.00",-1.27%
Feb-21,"1,51,250.00",3.24%
Mar-21,"1,59,451.20",5.42%
Apr-21,"1,72,605.40",8.25%
May-21,"1,78,519.40",3.43%
Jun-21,"1,79,971.30",0.81%
Jul-21,"1,86,126.60",3.42%
Aug-21,"1,93,087.90",3.74%
Sep-21,"2,08,666.20",8.07%
Oct-21,"2,19,795.90",5.33%
Nov-21,"1,96,370.90",-10.66%
Dec-21,"2,03,618.40",3.69%
Jan-22,"2,23,790.30",9.91%
Feb-22,"2,43,538.80",8.82%
Mar-22,"2,66,731.40",9.52%
Apr-22,"2,47,164.80",-7.34%
May-22,"2,18,809.70",-11.47%
Jun-22,"2,00,149.10",-8.53%
Jul-22,"1,91,756.70",-4.19%
Aug-22,"1,93,381.60",0.85%
Sep-22,"1,78,531.80",-7.68%
Oct-22,"1,85,705.10",4.02%
Nov-22,"1,92,354.00",3.58%
Dec-22,"1,97,806.40",2.83%
Jan-23,"2,04,871.50",3.57%
Feb-23,"1,99,586.70",-2.58%
Mar-23,"1,88,977.80",-5.32%
Apr-23,"1,92,193.60",1.70%
May-23,"1,86,780.70",-2.82%
Jun-23,"1,79,696.10",-3.79%
Jul-23,"1,77,479.70",-1.23%
Aug-23,"1,76,876.80",-0.34%
Sep-23,"1,81,455.50",2.59%
Oct-23,"1,82,467.20",0.56%
Nov-23,"1,83,428.10",0.53%
Dec-23,"1,81,795.00",-0.89%
Jan-24,"1,82,291.50",0.27%
Feb-24,"1,80,815.90",-0.81%
Mar-24,"1,84,766.00",2.18%
Apr-24,"2,09,019.60",13.13%
May-24,"2,13,906.30",2.34%
Jun-24,"2,08,484.20",-2.53%
Jul-24,"1,96,415.00",-5.79%
Aug-24,"1,96,625.20",0.11%
Sep-24,"2,05,304.10",4.41%
Oct-24,"2,18,092.10",6.23%
Nov-24,"2,17,802.80",-0.13%
